AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A701611,,5/8/15 17:26,1,,Dog,Female,7,Dachshund Longhair Mix,Cream
A681603,Emma,7/6/14 18:06,1,,Dog,Female,1,Labrador Retriever Mix,Black/White
A666502,,11/12/13 18:06,1,,Dog,Male,1,American Staffordshire Terrier Mix,Blue/White
A690366,Pinky,12/23/14 18:26,1,Foster,Cat,Female,<1,Domestic Medium Hair Mix,Torbie
A688989,Hugo,10/8/14 19:32,1,,Dog,Male,8,Chihuahua Longhair Mix,Black/White
A708722,Spartacus,9/12/15 17:36,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Black/White
A678611,Jackson,6/25/14 17:25,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A702835,Pepe,1/15/16 11:20,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Torbie
A673562,,3/2/14 17:07,1,,Dog,Female,6,Miniature Poodle Mix,White
A698807,Viviane,4/5/15 16:39,1,,Dog,Female,<1,Pit Bull Mix,Chocolate/White
A701194,Nick,6/16/15 8:30,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Black
A650311,Roxy,6/5/15 12:30,1,,Dog,Female,5,Rat Terrier/Pug,Brown/White
A687295,,9/14/14 12:24,0,Aggressive,Dog,Male,3,Labrador Retriever/German Shepherd,Black
A689317,Freddie,10/9/14 14:37,1,,Dog,Male,1,Airedale Terrier Mix,Black/Tan
A698390,Dunkin,4/25/15 22:49,1,Offsite,Dog,Male,<1,Chihuahua Shorthair Mix,Black/Tan
A676018,Coco,4/8/14 17:42,1,,Dog,Female,<1,Chihuahua Longhair/Maltese,White/Tan
A628590,Jackson,10/10/13 14:27,1,Foster,Dog,Male,5,Australian Cattle Dog Mix,White/Black
A694607,,1/4/15 18:06,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A705835,Kawhi,6/29/15 17:49,1,,Dog,Male,1,German Shepherd/Labrador Retriever,Brown
A690903,Amy,11/18/14 16:04,1,,Cat,Female,<1,Domestic Shorthair Mix,White/Orange Tabby
A717734,Cholula,12/26/15 12:59,1,,Cat,Female,1,Domestic Shorthair Mix,Brown Tabby
A699397,Juno,5/22/15 16:49,1,,Cat,Female,7,Domestic Shorthair Mix,Torbie
A679989,Paka,7/28/14 18:39,1,,Cat,Male,<1,Domestic Shorthair Mix,Black
A696612,Freddy,2/12/15 18:20,1,,Dog,Male,1,Dachshund/Beagle,Tan/White
A671541,Buddy,1/26/14 18:48,0,Suffering,Dog,Male,10,Beagle Mix,Tricolor
A670262,Pippa,1/11/16 15:41,1,,Dog,Female,9,Pointer Mix,White/Tan
A660088,Rooster,10/3/13 12:50,1,Foster,Dog,Male,<1,Pit Bull Mix,Blue/White
A650069,Luke,9/8/14 14:18,0,Aggressive,Dog,Male,2,Pointer/Labrador Retriever,Black/White
A691287,Bruce,11/21/14 14:39,1,,Dog,Male,7,Border Collie,Tricolor/White
A673422,Cujo,5/29/14 13:12,0,Aggressive,Dog,Male,1,Pit Bull Mix,Brown Brindle/White
A719693,Oscar,1/30/16 15:21,1,,Cat,Male,<1,Domestic Shorthair Mix,Black/White
A713812,Leo,1/27/16 18:48,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Orange Tabby
A663796,Gavroche,10/19/13 17:31,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Orange Tabby/White
A675845,Axel,5/10/14 15:57,1,Offsite,Dog,Male,3,Chihuahua Shorthair Mix,Tan/White
A689422,Belle,10/9/14 16:45,0,Aggressive,Dog,Female,7,Pit Bull Mix,Blue/White
A684980,Gyula,7/31/14 15:33,0,Aggressive,Dog,Male,3,Australian Cattle Dog Mix,Blue Merle
A697864,Lulu,3/6/15 16:29,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A714372,Whittlesey,12/9/15 11:02,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Cream Tabby
A704406,Fudge,7/18/15 15:14,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A698448,,3/15/15 11:40,1,,Dog,Male,5,Miniature Poodle Mix,White
A676428,Milo,10/29/14 10:59,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Orange Tabby
A713209,Mica,11/12/15 16:09,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Black
A714671,,11/7/15 11:21,1,Foster,Dog,Female,<1,Golden Retriever Mix,Gold
A619493,Chico,1/9/14 16:57,1,,Dog,Male,8,Dachshund,Brown/Black
A679011,Luna,6/29/14 17:13,1,Offsite,Cat,Female,<1,Domestic Shorthair Mix,Calico
A669422,Tigger,1/18/14 16:49,1,,Dog,Male,1,Pit Bull Mix,Blue/White
A665870,Marla,12/7/13 13:38,1,,Dog,Female,7,Jack Russell Terrier/Beagle,Black/White
A688878,Jd,10/3/14 18:45,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A675787,Zelda,5/18/14 16:30,1,,Dog,Female,2,Dogo Argentino Mix,White
A668624,Chucho,7/13/14 15:26,1,,Dog,Male,1,Miniature Schnauzer Mix,Black/Tan
A686631,Kasey,8/27/14 19:00,1,,Dog,Female,<1,Border Collie Mix,Chocolate/White
A682809,,7/7/14 17:55,1,,Dog,Female,1,Siberian Husky Mix,Black/White
A678581,Pablo,7/17/14 14:35,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,White/Brown Tabby
A674785,Millie,4/15/14 17:26,1,Foster,Dog,Female,<1,Chihuahua Shorthair/Dachshund Wirehair,Black
A655039,Coral,10/14/13 16:23,1,,Cat,Female,<1,Domestic Shorthair Mix,Orange Tabby/White
A713572,Seven,10/21/15 11:39,1,,Dog,Female,1,Pit Bull/Basset Hound,Brown Brindle
A716413,Marcel,11/24/15 18:52,1,,Dog,Male,1,Picardy Sheepdog Mix,Cream
A669153,Winston,3/19/14 16:15,1,,Dog,Male,8,Chinese Sharpei Mix,Tan/White
A683349,Luke,8/21/14 11:22,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A699764,Penny,5/23/15 18:30,1,Foster,Dog,Female,2,Shih Tzu,Brown/White
A685921,,8/19/14 18:05,1,,Dog,Female,<1,German Shepherd Mix,Brown/Black
A687166,Buddy,10/23/14 17:24,1,Foster,Dog,Male,<1,Patterdale Terr Mix,Black/White
A688951,Gustav,12/28/14 15:11,1,,Dog,Male,2,Pit Bull Mix,Fawn
A671512,Dipper,2/8/14 12:23,1,,Dog,Female,1,Labrador Retriever Mix,Brown
A706430,Journey,7/17/15 18:44,1,,Dog,Female,3,Chihuahua Shorthair Mix,Fawn/White
A716931,,2/16/16 8:29,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,White
A677189,Luna,12/30/15 14:00,1,,Dog,Female,1,Labrador Retriever Mix,Tan/White
A676043,Kayne,4/16/14 17:17,1,,Dog,Male,2,Pit Bull Mix,Fawn/White
A715338,,11/4/15 10:26,0,Enroute,Cat,Unknown,<1,Domestic Shorthair Mix,White/Orange Tabby
A701501,,5/31/15 15:03,1,Foster,Cat,Male,<1,Domestic Medium Hair Mix,Brown Tabby
A676114,,4/9/14 17:47,1,,Dog,Female,<1,Chihuahua Shorthair Mix,Brown
A701795,Butch,5/8/15 16:54,1,,Dog,Male,<1,Chihuahua Shorthair Mix,Black/White
A669602,Lee,1/6/14 18:50,1,,Cat,Female,<1,Domestic Shorthair Mix,Blue Tabby
A704408,Bon Bon,7/7/15 7:50,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A661949,Marty,10/13/13 13:40,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A711748,,9/15/15 18:39,1,,Cat,Female,<1,Domestic Shorthair Mix,Tortie
A695822,Potato,2/6/15 16:53,1,,Dog,Female,<1,Cardigan Welsh Corgi Mix,White/Brown
A716914,Twinkle,12/7/15 18:00,1,,Dog,Female,<1,Pit Bull Mix,Blue Tiger/White
A686161,Ringo,8/25/14 18:29,1,,Cat,Male,<1,Domestic Shorthair,Black/White
A715393,Argos,11/11/15 18:08,1,,Dog,Male,8,Queensland Heeler Mix,Blue Merle
A646914,Jasper,1/28/14 8:46,0,In Kennel,Dog,Male,1,Pembroke Welsh Corgi/Brittany,Black/White
A687659,R-Two,9/10/14 17:11,1,,Dog,Male,<1,Pit Bull Mix,Chocolate/White
A712576,Grayson,10/8/15 11:43,0,In Kennel,Cat,Male,<1,Domestic Shorthair Mix,Blue Tabby/White
A682415,,7/12/14 14:01,1,,Cat,Male,<1,Domestic Longhair Mix,Black
A663731,Samantha,10/26/13 12:29,1,Foster,Cat,Female,15,Persian Mix,Black
A633943,Chalky,2/7/14 18:28,1,,Dog,Male,4,Miniature Pinscher Mix,Brown
A704204,,6/7/15 16:53,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A718077,Kaiser,12/27/15 14:29,1,,Dog,Male,1,Labrador Retriever Mix,Black
A714266,,10/25/15 18:21,1,,Dog,Female,4,Chihuahua Shorthair Mix,Tan
A713033,Tank,10/17/15 18:17,1,,Dog,Male,1,Labrador Retriever/Pit Bull,Blue/White
A682129,,7/6/14 17:58,1,,Dog,Female,3,Chihuahua Shorthair Mix,Brown
A695339,Bailee,4/17/15 11:47,1,,Dog,Female,2,Cocker Spaniel/Chihuahua Shorthair,Black/Tan
A614657,Chloe,7/12/14 18:43,1,,Dog,Female,5,Collie Rough/Pointer,Tan/White
A697730,,3/3/15 18:13,1,,Cat,Female,<1,Domestic Shorthair Mix,Blue Tabby/White
A688937,Meggy,10/10/14 16:31,1,,Dog,Female,1,Golden Retriever Mix,Yellow
A697261,Roltan,10/24/15 0:00,1,,Dog,Male,<1,Schnauzer Giant Mix,Black/White
A693081,Athena,12/6/14 18:06,1,,Dog,Female,<1,German Shepherd Mix,Brown/Black
A685039,Chilli,9/14/14 10:28,0,Suffering,Cat,Male,12,Domestic Shorthair Mix,Brown Tabby/White
A671842,Neville,2/6/14 18:38,1,,Cat,Male,<1,Domestic Shorthair Mix,Cream Tabby
A714373,Johnson,12/9/15 10:57,1,Foster,Cat,Male,<1,Domestic Medium Hair Mix,Brown Tabby
A700570,Hazel Grace,10/10/15 14:12,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Tortie/Blue Cream
A706234,Jewel,7/7/15 16:15,1,,Cat,Female,<1,Domestic Shorthair Mix,Torbie
A705875,Ash,6/30/15 17:37,1,,Cat,Male,<1,Domestic Medium Hair Mix,Silver Tabby
A576705,Blue,10/23/15 15:55,1,,Cat,Male,5,Siamese Mix,Lynx Point
A624026,Gretta,5/28/15 19:56,1,,Dog,Female,3,Vizsla/Catahoula,Red/Tan
A710391,Xander,8/26/15 17:34,1,,Dog,Male,<1,Chihuahua Shorthair Mix,Tan
A676638,Harrison,4/20/14 15:29,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby/White
A676664,Shy Guy,5/14/14 18:44,1,,Dog,Male,<1,Schipperke/Chihuahua Shorthair,Black
A674731,Lola,3/22/14 18:04,1,,Dog,Female,1,Dachshund Mix,Brown Brindle/White
A700846,Cosmo,8/10/15 16:58,1,,Dog,Male,1,Pit Bull Mix,White/Chocolate
A662922,Missy,10/8/13 19:11,1,,Cat,Female,<1,Domestic Medium Hair Mix,Blue Tabby
A711545,Misty,9/16/15 19:30,1,,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A713200,Fluffy,10/7/15 19:08,1,,Dog,Male,<1,Australian Cattle Dog Mix,Brown Merle/White
A715214,,11/4/15 19:17,1,,Dog,Female,<1,Cocker Spaniel/Labrador Retriever,Tan/White
A715788,Wolf,1/18/16 16:14,1,,Dog,Male,1,Siberian Husky,White/Gray
A673910,Dewey,3/8/14 17:46,1,,Dog,Male,2,Toy Poodle Mix,White
A684616,,7/30/14 17:02,1,,Dog,Female,<1,German Shepherd/Catahoula,Sable
A718946,Chico,1/23/16 14:52,1,,Dog,Male,<1,Chihuahua Shorthair Mix,Tan
A672721,,2/20/14 12:11,1,,Cat,Female,<1,Siamese Mix,Lilac Point
A559692,Cornelius,2/23/14 12:38,1,,Dog,Male,8,Rottweiler,Black/Tan
A684044,,7/22/14 16:57,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A681852,Pip,7/12/14 19:04,1,,Cat,Male,<1,Domestic Medium Hair Mix,Orange Tabby
A710286,Penny,8/24/15 18:56,1,,Dog,Female,1,Swedish Vallhund Mix,Sable
A689764,Hashbrown,10/19/14 15:52,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby/White
A668331,Lulu,12/10/13 18:02,1,Foster,Dog,Female,<1,Catahoula Mix,Blue Merle/White
A680908,,6/15/14 18:48,1,,Cat,Female,<1,Siamese,Flame Point
A719373,Davio,1/23/16 21:10,1,,Cat,Male,<1,Domestic Shorthair Mix,Black
A664940,Laika,12/2/13 14:46,0,Aggressive,Dog,Female,1,Pit Bull Mix,White
A668031,Simba,12/24/13 12:20,1,,Dog,Male,2,Rhod Ridgeback,Red
A688139,Jack,9/23/14 19:10,1,,Dog,Male,2,Catahoula Mix,Black/Tricolor
A703381,,6/2/15 9:07,0,Suffering,Cat,Female,1,Domestic Shorthair Mix,Brown Tabby
A698222,Moonpie,1/15/16 10:35,1,Foster,Dog,Female,6,Labrador Retriever Mix,Brown
A687693,Miette,12/30/14 13:11,1,Foster,Dog,Female,<1,Australian Cattle Dog Mix,Brown/White
A703806,Molly,8/28/15 12:53,1,,Cat,Female,<1,Domestic Shorthair Mix,Blue Tabby/White
A694034,,12/23/14 14:16,1,,Cat,Male,<1,Domestic Shorthair Mix,Black Smoke
A715577,Tessa,11/10/15 12:03,1,,Dog,Female,2,Miniature Schnauzer Mix,Gray
A715681,Tiger,12/26/15 15:05,1,,Dog,Male,2,Pit Bull Mix,Brown Brindle
A711640,Dallas,9/13/15 19:15,1,,Dog,Male,<1,Dachshund/Chihuahua Shorthair,Buff/White
A692760,Bear,12/6/14 14:03,1,,Dog,Male,2,Anatol Shepherd Mix,Cream
A688492,,9/24/14 11:22,0,Suffering,Dog,Female,8,Rottweiler Mix,Black/Brown
A716046,Randall,11/30/15 15:09,1,,Cat,Male,<1,Domestic Shorthair Mix,Black/White
A696088,Lexi,2/1/15 12:38,1,,Dog,Female,<1,Border Collie/Australian Cattle Dog,Black/White
A663692,Austin,11/26/13 16:27,0,Aggressive,Dog,Male,6,Plott Hound Mix,Brown Brindle/White
A670682,,1/18/14 16:57,1,,Dog,Female,<1,Chinese Sharpei Mix,Tan/White
A702783,,5/21/15 17:06,1,,Dog,Male,<1,Airedale Terrier/Miniature Schnauzer,Brown Brindle
A701146,,6/25/15 9:52,1,Foster,Dog,Female,<1,Dachshund/Manchester Terrier,Buff/White
A680126,Murray,6/24/14 15:32,1,Foster,Cat,Male,<1,Domestic Longhair,Black Smoke
A720110,Bronx,2/15/16 13:06,1,,Dog,Male,1,Pit Bull Mix,Brown Brindle
A717893,Rasgo,12/18/15 18:13,1,,Dog,Male,<1,Havanese Mix,Apricot
A663134,Lobo,12/18/13 12:29,1,,Dog,Male,1,Queensland Heeler Mix,Blue Merle
A692182,Cruz,2/5/15 17:18,1,,Dog,Male,<1,Border Collie/Dachshund,Black
A531398,Red,6/1/14 18:14,1,,Dog,Male,9,Chihuahua Shorthair Mix,Brown/White
A687437,Hal,10/13/14 17:32,1,,Cat,Male,<1,Domestic Shorthair Mix,Black
A698156,Copper,3/10/15 18:07,1,,Dog,Male,<1,Dachshund/English Foxhound,Tricolor
A694263,Trinity,1/16/15 19:29,1,,Dog,Female,6,English Bulldog Mix,Tricolor
A680909,,6/12/14 17:46,1,,Cat,Female,<1,Siamese,Flame Point
A679738,Max,8/7/14 11:19,0,In Foster,Dog,Male,<1,Chihuahua Shorthair Mix,Brown Brindle
A698690,,3/20/15 16:54,1,,Dog,Female,<1,Chihuahua Shorthair Mix,Brown/White
A704969,Allie,7/19/15 15:19,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Tortie
A686958,Ace,8/29/14 15:00,0,Aggressive,Dog,Male,6,Pit Bull Mix,Brown Brindle
A683594,Trinity,7/24/14 17:14,1,,Cat,Female,2,Domestic Shorthair Mix,Brown Tabby
A709832,Clover,8/21/15 13:20,1,,Dog,Female,3,Yorkshire Terrier Mix,Blue/Tan
A670121,Hersheys,1/6/14 17:21,1,,Dog,Male,<1,Pit Bull Mix,Chocolate
A670076,Apollo,1/31/14 18:25,1,,Dog,Male,1,Pit Bull Mix,Blue/White
A665023,Bear,10/22/13 14:41,1,,Cat,Male,<1,Domestic Longhair Mix,Cream Tabby
A705676,Lacey,7/4/15 13:31,1,,Dog,Female,2,Chihuahua Shorthair Mix,White/Tan
A713018,Tyrion,1/29/16 17:41,1,,Cat,Male,<1,Domestic Shorthair Mix,Black/White
A675673,,4/6/14 17:23,1,,Dog,Female,2,Cairn Terrier/Yorkshire Terrier,Cream
A716897,Lucy,12/2/15 19:02,1,,Dog,Female,1,Great Pyrenees Mix,White
A669211,Max,12/21/13 18:25,1,,Dog,Male,2,Chihuahua Shorthair Mix,White/Brown
A715209,Murphy,11/3/15 16:47,1,,Dog,Female,<1,Cocker Spaniel/Labrador Retriever,White/Brown
A695981,Brady,4/2/15 17:18,1,,Dog,Male,2,Chihuahua Shorthair Mix,Brown
A713795,,10/18/15 17:36,1,,Dog,Male,<1,Chihuahua Shorthair Mix,Buff
A671134,Dynamite,1/25/14 17:06,1,,Dog,Male,<1,Redbone Hound/Redbone Hound,Red
A713592,Simon,12/5/15 16:30,1,,Dog,Male,2,Labrador Retriever/German Shepherd,Brown/White
A711995,Tyson,9/20/15 18:26,1,,Dog,Male,<1,Labrador Retriever Mix,Black/White
A675866,Chico,4/16/14 17:06,1,,Dog,Male,1,Dachshund Mix,Red
A685201,Angela,8/23/14 8:16,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby/White
A713920,Wren,12/16/15 16:20,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A677917,Chubby,5/4/14 18:57,1,,Cat,Female,1,Domestic Medium Hair Mix,Orange Tabby
A670610,Riker,3/2/14 17:38,1,,Dog,Male,2,German Shepherd Mix,Tan/Black
A701372,Carol,6/5/15 18:51,1,,Cat,Female,<1,Domestic Medium Hair,Brown Tabby
A685573,Lucas,8/21/14 14:37,1,,Dog,Male,1,Redbone Hound Mix,Tan/White
A661851,Prada,10/13/13 14:12,1,,Cat,Female,<1,Domestic Shorthair Mix,Orange Tabby/White
A712725,Samson,10/21/15 18:55,1,,Dog,Male,7,Great Pyrenees Mix,White
A700188,Liza,4/15/15 16:31,1,,Dog,Female,12,Miniature Poodle Mix,White
A631781,Butterscotch,7/30/14 17:57,1,,Cat,Female,9,British Shorthair,Orange Tabby/White
A694172,Dizzy,12/31/14 15:09,1,,Dog,Male,<1,Catahoula/Labrador Retriever,Tan/White
A693010,,1/26/15 18:47,1,Foster,Dog,Female,<1,Labrador Retriever Mix,Tan
A672265,,2/11/14 18:22,1,,Dog,Female,<1,Golden Retriever Mix,Tan/White
A705019,Mathias,8/8/15 12:41,1,,Cat,Male,<1,Domestic Shorthair Mix,Black/White
A690906,Parry,12/19/14 9:12,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Blue Tabby
A699238,Butterball,4/23/15 12:55,1,Foster,Dog,Male,<1,Soft Coated Wheaten Terrier Mix,Tan
A692390,Charlize,12/6/14 11:22,1,,Dog,Female,8,Beagle Mix,Black/Tan
A702023,Jasmine,7/7/15 19:16,1,,Cat,Female,1,Domestic Longhair Mix,Calico
A685733,Lily,8/16/14 18:50,1,,Dog,Female,<1,Labrador Retriever Mix,Brown/White
A719114,Romeo,1/17/16 19:00,1,,Dog,Male,1,Chihuahua Longhair Mix,Brown/White
A707321,Bella,8/17/15 17:45,1,,Cat,Female,<1,Domestic Shorthair Mix,Tortie
A679061,Aeris,6/24/14 18:37,1,,Dog,Female,<1,Pit Bull Mix,Black Brindle/White
A691120,,11/1/14 14:30,0,Suffering,Cat,Female,<1,Domestic Shorthair Mix,Black/White
A713341,N,11/27/15 17:47,1,,Cat,Male,<1,Domestic Shorthair Mix,Blue Smoke
A597754,Sunshine,8/13/15 18:25,1,,Dog,Female,5,Vizsla/Staffordshire,Red/White
A687458,Baby Blue,10/18/14 16:13,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Blue Tabby
A679917,Mo Mo,6/21/14 14:57,1,,Dog,Female,1,Anatol Shepherd Mix,Cream
A672075,,2/3/14 15:42,0,Suffering,Cat,Male,4,Domestic Longhair Mix,Black/White
A660209,Gracie,11/17/13 18:33,1,,Dog,Female,2,American Staffordshire Terrier Mix,Brown/White
A702130,Yolee,7/18/15 20:30,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Tortie
A707191,Pearl,7/28/15 18:39,1,,Dog,Female,2,Beagle/Pointer,Black/White
A684216,,7/25/14 18:41,1,,Dog,Male,2,Chihuahua Shorthair Mix,Chocolate/Brown Brindle
A625626,Olenta,12/15/15 12:04,0,Suffering,Dog,Female,7,Dachshund Mix,White/Brown
A664953,Figgy,12/12/13 15:46,0,In Foster,Cat,Female,<1,Domestic Shorthair Mix,Black/White
A713267,Friday,10/9/15 17:02,1,,Dog,Male,1,Labrador Retriever Mix,Tan
A701357,Sunshine,9/27/15 13:19,1,Offsite,Dog,Female,5,Chihuahua Shorthair Mix,Sable/Brown
A694211,Nightshadow,1/11/15 15:01,1,,Cat,Female,5,Domestic Medium Hair Mix,Black
A674267,Bambi,3/18/14 16:04,1,,Dog,Female,3,Chihuahua Shorthair Mix,Brown
A659834,Dudley,10/1/13 9:31,1,Foster,Dog,Male,<1,Labrador Retriever Mix,Black
A688609,Prince,11/5/14 16:31,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A718192,Vincente,1/4/16 13:24,1,,Dog,Male,5,Chihuahua Shorthair Mix,Tan/Black
A630031,Gideon,1/11/14 16:05,1,,Dog,Male,2,German Shepherd Mix,Black
A675175,Olive,4/15/14 11:34,1,,Dog,Female,<1,Border Collie Mix,Black/White
A687492,,9/9/14 17:41,1,,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby/White
A611682,Estrella,4/26/15 18:01,1,,Dog,Female,4,Miniature Poodle Mix,Gray
A671124,Matty,1/20/14 18:42,1,,Cat,Male,<1,Domestic Longhair Mix,Orange Tabby/White
A660051,,11/13/13 12:57,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A696151,Sully,2/24/15 17:17,1,Foster,Dog,Male,<1,Dachshund Mix,Black/Brown
A682418,,7/12/14 18:27,1,,Cat,Female,<1,Domestic Shorthair,Black
A705389,Gilly,6/25/15 17:11,1,,Cat,Female,1,Domestic Shorthair Mix,Blue
A658734,Heidi,2/21/15 16:28,1,,Dog,Female,4,Dachshund Longhair/Cardigan Welsh Corgi,Red
A708027,Pepper,7/27/15 18:58,1,,Dog,Female,<1,Labrador Retriever Mix,Black
A712541,Bijoux,10/12/15 16:17,1,,Cat,Female,<1,Domestic Shorthair Mix,Torbie/White
A702915,Bertram,5/24/15 18:58,1,,Dog,Male,<1,Anatol Shepherd,Red/White
A712355,Max,9/27/15 14:32,1,,Cat,Male,8,Domestic Shorthair Mix,Orange Tabby
A706257,Quill,7/2/15 17:50,1,,Dog,Male,<1,German Shepherd Mix,Brown
A706610,Mindy Lou,8/23/15 13:20,1,,Dog,Female,2,Australian Shepherd Mix,Tan
A662880,Orange,10/6/13 14:18,1,,Cat,Male,<1,Domestic Shorthair Mix,Orange Tabby/White
A716675,Sirius,11/29/15 17:30,1,,Dog,Female,3,Chihuahua Shorthair Mix,Brown
A678793,Norman,7/12/14 19:17,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Black/White
A719471,Jordy,1/25/16 17:02,1,,Dog,Male,3,Australian Cattle Dog Mix,Blue Tick
A702338,Sparks,5/16/15 18:29,1,,Dog,Male,1,Basenji/Chihuahua Shorthair,Tan/White
A667933,,11/30/13 15:41,1,,Dog,Male,4,Border Collie Mix,Black/White
A710883,Mary,10/13/15 14:00,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Orange Tabby
A719789,Ginger,2/5/16 19:28,1,,Dog,Female,<1,Chihuahua Shorthair Mix,Brown
A688471,Bran,11/21/14 11:30,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A677458,Buddy,3/28/15 15:53,1,,Dog,Male,2,Labrador Retriever/Boxer,Brown/White
A689871,Mocha,12/27/14 16:14,1,,Dog,Male,1,Chihuahua Shorthair Mix,Chocolate/White
A690235,Forrest,10/24/14 12:08,0,Suffering,Dog,Male,8,Siberian Husky Mix,Black/White
A709238,Penny,8/15/15 8:06,0,In Kennel,Cat,Female,<1,Domestic Medium Hair Mix,Brown Tabby/White
A718024,Snickerdood,1/2/16 18:11,1,,Cat,Male,<1,Domestic Shorthair Mix,Cream Tabby
A669600,,12/24/13 12:10,1,,Cat,Female,<1,Domestic Medium Hair Mix,Blue
A694590,Snowbelle,1/4/15 18:36,1,,Dog,Female,<1,Catahoula Mix,White
A697567,Wilbur,3/23/15 18:21,1,,Dog,Male,4,Pit Bull Mix,Tricolor
A683025,,7/10/14 17:16,1,,Dog,Male,2,Dachshund Mix,Red Tick/White
A685211,Myka,8/17/14 11:30,1,,Dog,Female,1,Australian Kelpie Mix,Tan
A703435,Marty,5/29/15 12:30,1,,Dog,Male,2,Chihuahua Shorthair Mix,Tan
A660357,Phoebe,10/26/13 13:43,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Brown Tabby
A693578,Little Bit,1/7/15 18:27,1,,Cat,Female,12,Domestic Shorthair Mix,Tortie
A610772,Max,4/23/14 10:01,0,Aggressive,Dog,Male,4,Chihuahua Longhair/Pomeranian,Tan/White
A663886,Trudy,10/1/13 15:08,0,Medical,Dog,Female,2,Pit Bull Mix,Black/White
A696230,,2/4/15 16:55,1,,Cat,Male,<1,Domestic Medium Hair Mix,Black/White
A678078,Hershey,7/13/14 18:55,1,Foster,Cat,Male,<1,Domestic Shorthair Mix,Brown Tabby
A706812,,7/18/15 19:49,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Tortie
A684057,Zachary,9/4/14 14:57,1,,Dog,Male,10,Chihuahua Shorthair Mix,Black/Brown
A706070,Skunk,7/18/15 15:20,1,Foster,Cat,Female,<1,Domestic Shorthair Mix,Black
A706926,Clem,8/15/15 16:19,1,,Cat,Male,<1,Domestic Shorthair,Blue
A697665,Canelo,3/14/15 12:49,1,,Dog,Male,1,Chihuahua Shorthair Mix,Tan
A716376,,12/17/15 11:33,1,Foster,Dog,Female,<1,Boxer Mix,Red/White
A714383,,10/27/15 19:03,1,,Dog,Male,<1,Beagle Mix,Brown/Tan
A605804,Shayla,3/27/15 14:58,0,Aggressive,Dog,Female,4,Australian Cattle Dog Mix,White/Black
A709191,Chaca,8/11/15 17:00,1,,Dog,Female,<1,Rottweiler Mix,Black/Tan
A697970,Collins,3/14/15 18:00,1,,Dog,Male,2,Border Terrier Mix,White/Orange
A613161,Lady,6/29/14 14:27,1,,Dog,Female,3,German Shepherd Mix,Brown/Black
A720819,Yuki Kisses,2/21/16 17:50,1,,Dog,Female,<1,Australian Cattle Dog Mix,White/Red
A671503,Max,2/3/14 18:11,1,,Dog,Male,2,Beagle/Dachshund,White/Brown
A694059,Simon,12/29/14 15:40,1,,Dog,Male,5,Boxer/Staffordshire,Black/White
A698681,,3/20/15 17:24,1,,Dog,Male,<1,Border Terrier Mix,Gray/White
A717977,,12/23/15 17:19,1,,Dog,Male,2,Miniature Schnauzer Mix,Gray/White
A698177,,3/10/15 18:55,1,,Dog,Male,4,Maltese Mix,White
